Name,information_gain
13614,videoscontentspremier
9273,paris
2744,contender
5757,giftcards
1829,cap
9410,pendente
13406,uplay
5154,flawed
14209,zipped
9746,popularidadepor
4487,especially
5812,gmbh
10326,range
7573,limbo
13609,videogames
9922,priced
12449,syndrome
2448,combine
10134,public
7454,legrindmost
5412,friendly
3261,deals
2930,craft
2809,convidar
7121,js
4446,esa
517,amended
4422,equivalent
12432,swiss
2688,conseguirão
2388,collectionwoodsya
10154,pump
12886,tomilis
2970,creatorsblueprints
5580,gamersgateentre
2436,comando
10214,quando
9925,priceon
11284,seasonmake
9509,phase
4992,fez
9084,other
14280,ภาษาไทย
4527,estrangeiros
700,appfrom
9265,parede
254,affiliate
3067,cunning
13974,window
12070,statusreleasedplatformswindows
1569,bracing
689,apparel
2880,costumes
11077,runic
554,ancient
575,anima
3994,dump
159,add
2820,cooking
13739,votadosenviar
2116,choose
7614,lion
3673,directionwinner
6754,interacts
1591,breakthrough
3408,depressed
11673,sitesuporte
14076,worlds
956,atmospheresauthentic
5232,for
10083,prosperous
5509,galactic
7388,latest
3097,customer
868,ask
5622,gamestoolscomicsbooksunreadable
10201,qar
3318,defending
13583,veterinarian
10974,rogue
11292,seconds
12018,stadiums
6454,iir
8379,more
6191,herself
8378,mordor
6244,history
4681,experience
12019,staff
6211,higher
7037,join
12589,technologyfifa
6715,instantly
9856,precursor
10563,reinos
10799,resultspricefreeon
1137,baixo
12914,tormented
9920,price
11447,settlers
6057,hands
2912,court
12945,touchscreen
8949,olly
8606,neatly
13391,updatethe
9862,predecessor
5606,gamesitch
2435,comactivate
7527,libredia
2931,crafted
11786,snow
8496,mundo
14180,your
817,arrived
8630,neighbor
3219,daventry
1848,captured
5175,floor
9305,partir
11001,rondomedia
878,aspirations
10600,relief
8179,microids
9111,outlines
8502,murdered
6852,ios
11190,says
2928,crack
13521,vazioseu
5049,filesgamepage
9461,persistente
4581,everything
1998,ch
13169,tweaked
10370,rayuse
13319,units
3567,developments
207,adorable
7067,joinedimprovised
6791,interwoven
6354,how
9937,primeiromais
3950,drive
2867,corrupting
7126,jude
12142,storeð
11653,sistema
11266,sculpting
114,achievementsfull
5881,grade
13224,ufo
353,agoyes
6202,heâ
2247,club
8442,mountain
6553,included
2433,colônias
7361,languagesčeský
11267,sdk
8447,mouse
1970,cells
12899,top
1325,bestas
11830,som
13831,wartime
7317,la
11729,slew
1770,cakewalk
3604,diagnose
5182,flowers
11209,scavenge
2303,coleção
1406,black
11250,screenshots
7485,lethality
6205,hide
6618,infiltrates
3096,customcategory
3208,date
5190,flush
2998,crime
6266,holders
7208,key
999,aurora
4008,durante
2973,creatures
6478,imdb
2669,connections
11173,sas
13526,vector
4914,fcgi
6509,importando
7999,maul
2082,cheio
8213,minded
9897,press
14139,xsolla
10766,respective
8730,nomad
7357,languageportuguese
4901,faz
10711,requirementsscreenshots
5599,gamesfor
3631,differently
160,added
12136,store
11275,search
10725,resenhas
2614,concertvideo
1374,biotics
2668,connectionchange
3479,desesperar
10967,rocking
10094,provar
11164,sandyhfollowing
