Name,information_gain
9027,orange
2064,checkmatesimple
6981,jawns
3679,direito
11603,silly
13750,voyage
2418,colossais
2366,collections
8699,nighttime
10943,rj
7767,luchador
2381,collectionthe
8656,networked
13647,vindikut
9149,overviewgenreaction
2207,clear
14288,普遍級
7905,mantis
2920,coverttrickstersubmission
9505,pgv
14046,wondering
8272,mistralis
13077,trilha
3357,deluxeincluded
14155,years
12610,temos
1172,bar
4296,encounter
8956,on
2934,crait
5563,gamepad
3391,dente
10029,programdata
10876,reúnam
6135,heartpiercer
11885,sozinho
204,adol
982,aturdida
5481,futility
13557,ver
3936,dreamworld
6833,invista
